id,action_time,object_id,object_repr,change_message,content_type_id,user_id,action_flag
106,2021-10-05 01:10:50.658641,11,Smoky Fried NC Catfish Plate,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
107,2021-10-05 01:11:07.923077,17,Le Courage 10 Oz NY Strip Steak,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
108,2021-10-05 01:11:19.561986,10,Smoked Pulled Chicken Plate,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
109,2021-10-05 01:11:53.641820,9,To-Go Cholle & Rice,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
110,2021-10-05 01:12:02.587712,8,Kids Cheese Paratha,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
111,2021-10-05 01:12:09.761480,7,Kheer,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
112,2021-10-05 01:12:17.561189,6,Papadum,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
113,2021-10-05 01:12:23.314958,5,Desi Chicken Salad,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
114,2021-10-05 01:12:29.352730,4,Chicken Pakoras,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
115,2021-10-05 01:12:35.305290,3,Aloo Tikki Chaat,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
116,2021-10-05 01:12:41.170516,2,Green Mango Chaat,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
117,2021-10-05 01:13:45.949778,42,Large Garden,"[{""changed"": {""fields"": [""Close time""]}}]",10,1,2
118,2021-10-05 01:13:49.272941,41,Supreme Large,"[{""changed"": {""fields"": [""Close time""]}}]",10,1,2
119,2021-10-05 01:13:52.953159,40,Calzone,"[{""changed"": {""fields"": [""Close time""]}}]",10,1,2
120,2021-10-05 01:13:57.720503,39,Thirteen Slice,"[{""changed"": {""fields"": [""Close time""]}}]",10,1,2
121,2021-10-05 01:14:02.523459,38,Garden Slice,"[{""changed"": {""fields"": [""Close time""]}}]",10,1,2
122,2021-10-05 01:14:05.775487,38,Garden Slice,[],10,1,2
123,2021-10-05 01:14:10.984183,37,Supreme Pizza Slice,"[{""changed"": {""fields"": [""Close time""]}}]",10,1,2
124,2021-10-05 01:14:15.591447,36,Single Pizza Slice,"[{""changed"": {""fields"": [""Close time""]}}]",10,1,2
125,2021-10-05 02:46:14.849413,7,Bim Beri Bon,"[{""changed"": {""fields"": [""Coordinates""]}}]",7,1,2
126,2021-10-05 02:46:25.835204,6,Standard Pizza Co.,"[{""changed"": {""fields"": [""Coordinates""]}}]",7,1,2
127,2021-10-05 02:47:02.195156,5,Taco Billy,"[{""changed"": {""fields"": [""Coordinates""]}}]",7,1,2
128,2021-10-05 02:47:11.990437,4,Taco Temple,"[{""changed"": {""fields"": [""Coordinates""]}}]",7,1,2
129,2021-10-05 02:47:22.251117,3,Benne on Eagle,"[{""changed"": {""fields"": [""Coordinates""]}}]",7,1,2
130,2021-10-05 02:47:31.576101,2,Buxton Hall,"[{""changed"": {""fields"": [""Coordinates""]}}]",7,1,2
131,2021-10-05 02:47:38.832582,2,Buxton Hall,"[{""changed"": {""fields"": [""Coordinates""]}}]",7,1,2
132,2021-10-05 02:47:47.440232,1,Chai Pani,"[{""changed"": {""fields"": [""Coordinates""]}}]",7,1,2
